,Date,open,high,low,close,spread
0,2021-06-01 00:00:00+00:00,1.4226949,1.42291,1.421915,1.422735,6.690439e-05
1,2021-06-01 01:00:00+00:00,1.422775,1.424935,1.42268,1.424135,7.034171e-05
2,2021-06-01 02:00:00+00:00,1.42415,1.424715,1.4233651,1.423945,6.774086e-05
3,2021-06-01 03:00:00+00:00,1.42394,1.424375,1.423385,1.423725,7.2931456e-05
4,2021-06-01 04:00:00+00:00,1.42372,1.4239349,1.423025,1.42332,6.5465836e-05
5,2021-06-01 05:00:00+00:00,1.423315,1.423425,1.4219799,1.422735,6.7044915e-05
6,2021-06-01 06:00:00+00:00,1.42275,1.4239,1.4212351,1.423535,6.521092e-05
7,2021-06-01 07:00:00+00:00,1.423525,1.424325,1.421875,1.4222801,6.847926e-05
8,2021-06-01 08:00:00+00:00,1.4222901,1.4225199,1.41764,1.4189601,6.622918e-05
9,2021-06-01 09:00:00+00:00,1.4189551,1.41951,1.418,1.4182401,6.321317e-05
10,2021-06-01 10:00:00+00:00,1.4182501,1.4189601,1.4166601,1.4181149,6.473415e-05
11,2021-06-01 11:00:00+00:00,1.4181199,1.418855,1.4168451,1.41698,6.354013e-05
12,2021-06-01 12:00:00+00:00,1.416965,1.417645,1.415535,1.4159501,6.458578e-05
13,2021-06-01 13:00:00+00:00,1.415935,1.419205,1.41575,1.41784,6.391614e-05
14,2021-06-01 14:00:00+00:00,1.417865,1.41923,1.416795,1.4173751,6.3642234e-05
15,2021-06-01 15:00:00+00:00,1.4173601,1.4180651,1.4165,1.4167099,6.0861825e-05
16,2021-06-01 16:00:00+00:00,1.4167,1.417055,1.41607,1.416115,6.1221195e-05
17,2021-06-01 17:00:00+00:00,1.41612,1.416245,1.4154899,1.41556,6.507498e-05
18,2021-06-01 18:00:00+00:00,1.415555,1.4163201,1.415535,1.4160349,6.288169e-05
19,2021-06-01 19:00:00+00:00,1.41604,1.41624,1.415095,1.41516,6.915956e-05
20,2021-06-01 20:00:00+00:00,1.4151549,1.41528,1.41465,1.41501,9.034599e-05
21,2021-06-01 21:00:00+00:00,1.4149699,1.415175,1.414865,1.41499,0.00031564152
22,2021-06-01 22:00:00+00:00,1.415,1.41518,1.4145701,1.4150901,0.00017060543
23,2021-06-01 23:00:00+00:00,1.4150851,1.41559,1.414865,1.41556,8.4944644e-05
24,2021-06-02 00:00:00+00:00,1.41555,1.416265,1.41522,1.4158151,8.165505e-05
25,2021-06-02 01:00:00+00:00,1.41577,1.41636,1.4154301,1.4156251,7.456789e-05
26,2021-06-02 02:00:00+00:00,1.41559,1.41643,1.41524,1.4160349,7.3378695e-05
27,2021-06-02 03:00:00+00:00,1.416055,1.4163749,1.4156051,1.4159751,7.197455e-05
28,2021-06-02 04:00:00+00:00,1.41598,1.416075,1.414815,1.414835,7.577066e-05
29,2021-06-02 05:00:00+00:00,1.414825,1.415695,1.414665,1.4151549,7.2012495e-05
30,2021-06-02 06:00:00+00:00,1.4151449,1.4158549,1.4142549,1.41476,7.0490794e-05
31,2021-06-02 07:00:00+00:00,1.4147551,1.4150951,1.4128599,1.41397,6.846723e-05
32,2021-06-02 08:00:00+00:00,1.413975,1.414415,1.4125099,1.41364,6.878988e-05
33,2021-06-02 09:00:00+00:00,1.413645,1.41452,1.412945,1.414345,6.787001e-05
34,2021-06-02 10:00:00+00:00,1.41434,1.4147301,1.412225,1.4124551,6.457533e-05
35,2021-06-02 11:00:00+00:00,1.4124701,1.41416,1.411175,1.414075,6.760686e-05
36,2021-06-02 12:00:00+00:00,1.414065,1.4172449,1.4139199,1.4167249,6.654429e-05
37,2021-06-02 13:00:00+00:00,1.4167349,1.41694,1.4154401,1.416925,6.150743e-05
38,2021-06-02 14:00:00+00:00,1.41694,1.418035,1.4161,1.41653,6.665348e-05
39,2021-06-02 15:00:00+00:00,1.416525,1.418335,1.41627,1.417635,6.422753e-05
40,2021-06-02 16:00:00+00:00,1.417625,1.41764,1.4165499,1.41746,6.4191176e-05
41,2021-06-02 17:00:00+00:00,1.417455,1.417825,1.41652,1.417465,6.575389e-05
42,2021-06-02 18:00:00+00:00,1.41747,1.41802,1.4163101,1.4168451,6.7737186e-05
43,2021-06-02 19:00:00+00:00,1.4168501,1.4175451,1.41678,1.417105,6.7477864e-05
44,2021-06-02 20:00:00+00:00,1.4170849,1.4172599,1.41663,1.417105,0.00010122553
45,2021-06-02 21:00:00+00:00,1.417115,1.417625,1.4169099,1.41724,0.00033964124
46,2021-06-02 22:00:00+00:00,1.41723,1.4172399,1.4168949,1.4170251,0.00012082456
47,2021-06-02 23:00:00+00:00,1.4170201,1.417165,1.41681,1.417105,9.177979e-05
48,2021-06-03 00:00:00+00:00,1.41713,1.4179349,1.417125,1.417815,7.2253126e-05
49,2021-06-03 01:00:00+00:00,1.417825,1.417865,1.41679,1.4170849,7.1060276e-05
50,2021-06-03 02:00:00+00:00,1.4170899,1.4175849,1.416805,1.41681,7.1210074e-05
51,2021-06-03 03:00:00+00:00,1.416815,1.4170451,1.4165151,1.416955,6.953726e-05
52,2021-06-03 04:00:00+00:00,1.41695,1.4170649,1.416125,1.416215,6.808228e-05
53,2021-06-03 05:00:00+00:00,1.416175,1.416175,1.41506,1.41537,6.875146e-05
54,2021-06-03 06:00:00+00:00,1.4153,1.415965,1.41442,1.4152601,6.6480694e-05
55,2021-06-03 07:00:00+00:00,1.415285,1.4163749,1.41435,1.4146299,6.714184e-05
56,2021-06-03 08:00:00+00:00,1.4145999,1.4187701,1.414585,1.41785,6.703197e-05
57,2021-06-03 09:00:00+00:00,1.417835,1.418805,1.4176049,1.4187651,6.9999194e-05
58,2021-06-03 10:00:00+00:00,1.4187801,1.420295,1.4177101,1.417795,6.943111e-05
59,2021-06-03 11:00:00+00:00,1.417815,1.4194851,1.4175401,1.418705,6.953288e-05
60,2021-06-03 12:00:00+00:00,1.4187,1.41889,1.41518,1.4156699,7.279292e-05
61,2021-06-03 13:00:00+00:00,1.4156849,1.4158599,1.41078,1.4112101,7.034842e-05
62,2021-06-03 14:00:00+00:00,1.41117,1.412115,1.409975,1.411525,6.498941e-05
63,2021-06-03 15:00:00+00:00,1.41153,1.41179,1.4091899,1.409935,6.866284e-05
64,2021-06-03 16:00:00+00:00,1.409915,1.4105,1.4096401,1.4098849,6.419039e-05
65,2021-06-03 17:00:00+00:00,1.4098699,1.409945,1.4086399,1.4091749,6.757502e-05
66,2021-06-03 18:00:00+00:00,1.4091799,1.40993,1.40905,1.40958,6.969437e-05
67,2021-06-03 19:00:00+00:00,1.4096,1.41081,1.4096,1.410735,7.1317496e-05
68,2021-06-03 20:00:00+00:00,1.41073,1.41101,1.41032,1.410575,9.200799e-05
69,2021-06-03 21:00:00+00:00,1.4105899,1.410735,1.410085,1.41029,0.000300449
